order,date,author,title,published,pages,favorite,
955.,Aug 2005,Laurence Bergreen,As Thousands Cheer - The Life of Irving Berlin ,1990,,,
956.,Sep 2005,Anthony Trollope,The Way We Live Now ,1873,,,
957.,Sep 2005,Steve Martin,Shopgirl,2000,,,
958.,Sep 2005,Emile Zola,The Debacle ,1870,,,
959.,Oct 2005,Kenneth Henshall,A History of Japan ,1999,,,
960.,Nov 2005,Edmund Morris,The Rise of Theodore Roosevelt ,1979,,,
961.,Nov 2005,Henry Adams,The Education of Henry Adams ,1907,,,
962.,Nov 2005,Sonny Barger,Freedom: Credos from the Road ,2005,,,
963.,Nov 2006,Nathanael West,The Day of the Locust ,1939,,,
964.,Nov 2005,Ford Maddox Ford,The Good Soldier ,1915,,,
965.,Nov 2005,Mary Wollstonecraft,A Vindication of the Rights of Woman ,1792,,,
966.,Dec 2005,Edith Wharton,The Age of Innocence ,1920,,,
967.,Jan 2006,W. Somerset Maugham,Of Human Bondage ,1915,,,
968.,2006,Doris Kearns Goodwin,Team of Rivals - The Political Genius of Abraham Lincoln,2005,,,
969.,2006,Tony Judt,"Postwar, A History of Europe Since 1945",2005,,,
970.,2006,Geoff Emerick,"Here, There, and Everywhere ",2006,,,
971.,2006,Wallace Stegner,Angle of Repose ,1971,,,
972.,2006,David Dalton,"James Dean, The Mutant King ",1974,,,
973.,2006,V.S. Naipaul,India: A Wounded Civilisation ,1976,,,
974.,2006,Carlo Collodi,The Adventures of Pinocchio ,1881,,,
975.,2006,D. H. Lawrence,Women in Love ,1916,,,
976.,2006,Henri Pirenne,Economic and Social History of Medieval Europe ,1936,,,
977.,2006,A. H. Maslow,The Farther Reaches of Human Nature ,1971,,,
978.,2006,Charles Dickens,Our Mutual Friend ,1865,,,
979.,2006,Vladimir Nabokov,Speak Memory ,1947,,,
980.,2006,Hermann Hesee,Steppenwolf ,1927,,,
981.,Sep 2006,David S. Brown,Richard Hofstadter. An Intellectual Biography,2006,,,
982.,Sep 2006,Robert Penn Warren,All the King's Men,1946,,,
983.,Sep 2006,Michel DeMontaigne,On Friendship,1580,,,
984.,Oct 2006,Danny Danzinger & John Gillingham,1215 The Year of Magna Carta,2003,,,
985.,Oct 2006,Jim Harrison,Legends of the Fall,1978,,,
986.,Nov 2006,Jared Diamond,Collapse - How Societies Choose to Fail Or Succeed,2005,,,
987.,Nov 2006,Fareed Zakaria,The Future of Freedom,2003,,,
988.,Nov 2006,J.P. Donleavy,The Ginger Man,1955,,,
989.,Nov 2006,John Irving,My Movie Business,1999,,,
990.,Dec 2006,William Shakespeare,All's Well That Ends Well,1602,,,
991.,Dec 2006,Graham Greene,The Quiet American,1955,,,
992.,Dec 2006,Quintus Curtius Rufus,The History of Alexander,44A.D.,,,
993.,Dec 2006,Oliver Wendell Holmes,The Autocrat of the Breakfast Table,1858,,,
994.,Jan 2007,Iris Murdoch,Jackson's Dilemma,1995,,,
995.,Feb 2007,Jonathan Franzen,The Corrections,2001,,,
996.,2007,George W.S. Trow,My Pilgrim's Progress,1999,,,
997.,2007,Heinrich Fichtenau,The Carolingian Empire,1957,,,
998.,2007,Jill Hamilton,"God, Guns and Israel",2004,,,
999.,2007,Sir Thomas More,The History of King Richard III,1557,,,
1000.,2007,Jean-Jacques Rousseau,The Confessions,1781,,,
1001.,2007,Nathaniel Hawthorne,The Marble Faun,1860,,,
1002.,2007,Isaiah Berlin,Russian Thinkers,1978,,,
1003.,2007,Cecily von Ziegesar,don't you forget about me,2007,,,
1004.,2007,Ian McEwan,On Chesil Beach,2007,,,
1005.,2007,Jonathan Lethem,Motherless Brooklyn,1999,,,
1006.,2007,Erich Fromm,The Essential Fromm,1976,,,
1007.,2007,José Saramago,The Gospel According to Jesus Christ,1991,,,
1008.,2007,Brigitte L. Nacos,Mass-Mediated Terrorism,2007,,,
1009.,2007,Joan Didion,The Year of Magical Thinking,5006,,,
1010.,2007,Samuel Beckett,Waiting for Godot,1954,,,
1011.,2007,Leonardo da Vinci,Prophecies,1452-1519,,,
1012.,2007,Donald Capps,the depleted self,1993,,,
1013.,2007,Jean Rhys,Tigers are Better Looking,"1927, 1960-63",,,
1014.,2007,Reinhold Niebuhr,Leaves from the Notebook of a Tamed Cynic,1915-28,,,
1015.,2007,"John J. Jackson, Jr.",Harlemworld,2001,,,
1016.,2007,Edmund Burke,A Philosophical Enquiry into the Origin of our Ideas of the Sublime and Beautiful,1757,,,
1017.,2007,Octavio Paz,The Labyrinth of Solitude,1961,,,
1018.,2007,V.S. Naipaul,A Bend in the River,1979,,,
1019.,2007,Linda Lawrence Hunt,Bold Spirit- Helga Estby's Forgotten Walk Across Victorian America,2003,,,
1020.,2007,Fyodor Dostoevsky,The Gambler,1866,,,
1021.,2007,Alexander Solzhenitsyn,Nobel Lecture,1972,,,
1022.,2007,Kenneth Seeskin,Maimonides: A Guide for Today's Perplexed,1991,,,
1023.,2007,Booth Tarkington,The Magnificent Ambersons,1918,,,
1024,2008,Jane Jacobs,The Death and Life of Great American Cities,1961,,,
1025,2008,Al Gore,The Assault on Reason,2007,,,
1026,2008,Raymond Carver,Fires,1966-84,,,
1027,2008,Nassim Nicholas Taleb,The Black Swan,2007,,,
1028,2008,Peter Forbath,The Last Hero,1988,,,
1029,2008,Francis Bacon,The Essays,1625,,,
1030,2008,Rose Tremain,Restoration,1989,,,
1031,2008,Lord Macaulay,The History of England,1849,,,
1032,2008,Marguerite Duras,The Lover,1985,,,
1033,2008,Olivier Blanc,Last Letters - Prisons & Prisoners of the French Revolution 1793-94,1987,,,
1034,2008,Thomas Hobbes,Human Nature,1640,,,
1035,2008,John Perkins,Confessions of an Economic Hit Man,2004,,,
1036,2008,Edward W. Said,Orientalism,1978,,,
1037,2008,Rory Stewart,The Places in Between,2004,,,
1038,2008,Evelyn Waugh,A Handful of Dust,1934,,,
1039,2008,John Lewis Gaddis,The Cold War,2005,,,
1040,2008,Muriel Spark,The Girls of Slender Means,1963,,,
1041,2008,Vali Nasr,The Shia Revival,2006,,,
1042,2008,John Lukacs,"Blood, Toil, Tears and Sweat",2008,,,
1043,2008,William Boyd,Restless,2006,,,
1044,2008,Dennis McDouglas,Five Easy Decades,2008,,,
1045,2008,Thomas Wolfe,Of Time and the River,1935,,,
1046,2008,Simon Winchester,The Professor and the Madman,1998,,,
1047,2008,Henry Roth,Call It Sleep,1934,,,
1048,2008,Junot Diaz,The Brief Wondrous Life of Oscar Wao,2007,,,
1049,2008,Andrew J. Bacevich,The Limits of Power,2008,,,
1050,2008,Ken Kesey,Some Times a Great Notion,1964,,,
1051,2008,D.H. Lawrence,Lady Chatterley's Lover,1928,,,
1052,2008,Paul Tillich,The Courage to Be,1952,,,
1053,2008,Samuel Beckett,Murphy,1938,,,
1054,2008,Elizabeth Gaskell,Cranford,1853,,,
1055,2008,Edmund White,Rambaud - THe Double Life of a Rebel,2008,,,
1056,2008,Fernand Braudel,The Perspective of the World,1979,,,
1057,2008,Elizabeth Bowen,The Death of the Heart,1938,,,
1058,Jan 2009,Henri Troyat,Tolstoy,1965,,,
1059,Jan 2009,Jimmy Carter,"Palestine, Peace Not Apartheid",2006,,,
1060,Feb 2009,Tom Shachtman,Skyscraper Dreams,1991,,,
1061,Feb 2009,George Berkeley,Principles of Human Knowledge,1710,,,
1062,Feb 2009,Walter Bagehot,The English Constitution,1867,,,
1063,Mar 2009,Fareed Zakaria,The Post-American World,2008,,,
1064,Apr 2009,Mikhail Sholokhov,And Quiet Flows the Don,1928,,,
1065,Apr 2009,Jonathan Weiner,The Beak of the Finch,1994,,,
1066,Apr 2009,Lao Tzu,Hua Hu Ching,6 centr b.c.,,,
1067,May 2009,Ray Kurzweil,The Singularity Is Near,2005,,,
1068,May 2009,Robert Louis Stevenson,Treasure Island,1883,,,
1069,May 2009,Khaled Hosseini,The Kite Runner,2003,,,
1070,May 2009,Amos Oz,Rhyming Life & Death,2007,,,
1071,Jun 2009,W. Somerset Maugham,The Moon and Sixpence,1919,,,
1072,Jul 2009,Cicero,On the Good Life,60 b.c.,,,
1073,Jul 2009,Zadie Smith,On Beauty,2005,,,
1074,Jul 2009,Carrie Fisher,Wishful Drinking,2008,,,
1075,Aug 2009,Charles Grodin,How I Got to Be Whoever It is I Am,2009,,,
1076,Aug 2009,Edna O'Brien,Byron in Love,2009,,,
1077,Aug 2009,Christopher Isherwod,The Last of Mr. Norris,1935,,,
1078,Aug 2009,Christopher Isherwood,Goodbye to Berlin,1945,,,
1079,Aug 2009,E.M. Forster,Alexandria - A History,1918,,,
1080,Aug 2009,Samuel Richardson,Pamela,1740,,,
1081,Sep 2009,John Cleland,Fanny Hill,1749,,,
1082,Sep 2009,Daniel Defoe,Roxanna,1724,,,
1083,Sep 2009,Giambattista Vico,New Science,1725,,,
1084,Sep 2009,Nora Ephron,I Feel Bad About My Neck,2006,,,
1085,Nov 2009,Jacob Burckhardt,The Civilization of the Renaissance in Italy,1857,,,
1086,Oct 2009,Ivan Goncharov,Oblomov,1859,,,
1087,Nov 2009,Adam Phillips,Darwin’s worms,1999,,,
1088,Nov 2009,D.A.F. Marquis deSade,Justine,1787,,,
1089,Nov 2009,Raymond Postgate,Story of a Year 1848,1956,,,
1090,Nov 2009,Oliver Goldsmith,Essays on Miscellaneous Subjects; with an Inquiry Into the Present State of Polite Learning,1759-1774,,,
1091,Nov 2009,Paul Ryscavage,Income InEquality in America,1999,,,
1092,Dec 2009,Jack London,The SeaWolf,1903,,,
1093,Dec 2009,Akira Iriye,The Origins of the Second World War in Asia and the Pacific,1987,,,
1094,Dec 2009,Jacques Barzun,Race: A Study in Superstition,1937,,,
1095,Dec 2009,George Orwell,Why I Write,"1931-1940, 1946",,,
1096,Dec 2009,Jonathan Swift,A Collection of Genteel and Ingenious Conversation,1754,,,
1097,Jan 2010,Andrew Ross Sorkin,Too Big Too Fail,2009,,,
1098,Jan 2010,Dashielle Hammett,Red Harvest,1929,,,
1099,Feb 2010,Christopher Caldwell,Reflections on the Revolution in Europe,2009,,,
1100,Feb 2010,Polybius,The Rise of the Roman Empire,c.130AD,,,
1101,Mar 2010,Emile Zola,The Drinking Den,1877,,,
1102,Mar 2010,Michael Howard,War in European History,1976,,,
1103,Mar 2010,"John Heileman, Mark Halperin",Game Change,2010,,,
1104,Mar 2010,W.Somerset Maughan,Cakes and Ale,1930,,,
1105,Mar 2010,Sophocles,”Oedipus at Colonus”,410BC,,,
1106,Mar 2010,Jules Feiffer,Backing Into Forward,2011,,,
1107,Apr 2010,Hermann Hesse,The Journey to the East,1959,,,
1108,Apr 2010,Richard Wright,Native Son,1940,,,
1109,May 2010,James Moore,Gurdjieff,1991,,,
1110,Jun 2010,Gregory David Roberts,Shantaram,2003,,,
1111,Jun 2010,David A. Andelman,A Shattered Peace,2008,,,
1112,Jun 2010,Stieg Larsson,The Girl With The Dragon Tattoo,2004,,,
1113,Jun 2010,Billy Collins,Sailing Alone Around The Room,1988-1998,,,
1114,Jul 2010,Charlotte Joko Beck,Nothing Special,1993,,,
1115,Jul 2010,Paulo Coelho,The Alchemist,1988,,,
1116,Jul 2010,Wilkie Collins,The Woman in White,1860,,,
1117,Aug 2010,Kathryn Stockett,The Help,2009,,,
1118,Sep 2010,Ron Chernow,The House of Morgan,1990,,,
1119,Oct 2010,Doug Glanville,The Game From Where I Stand,2010,,,
1120,Oct 2010,"Norman Doidge, M.D.",The Brain That Changes Itself,-,,,
1121,Nov 2010,Louis D. Brandeis,Other People’s Money and How Bankers Use IT,1913,,,
1122,Nov 2010,Jonathan Franzen,How To Be Alone,1994-2002,,,
1123,Nov 2010,Ravi Ravindra,Heart Without Measure,1999,,,
1124,Dec 2010,Agatha Christie,Murder On The Orient Express,1934,,,
1125,Dec 2010,Wilkie Collins,Rambles Beyond Railways,1852,,,
1126,Jan 2011,Martin Cruz Smith,Gorky Park,1981,,,
1127,Feb 2011,James Miller,Examined Lives,2011,,,
1128,Feb 2011,Thomas Mann,Doctor Faustus,1947,,,
1129,Feb 2011,Luigi Pirandello,"One, No One & One Hundred Thousand",1909-1926,,,
1130,Mar 2011,Roderick Frazier Nash,Wilderness & The American Mind,1967,,,
1131,Mar 2011,Sinclair Lewis,Main Street,1920,,,
1132,Apr 2011,John Muir,A Thousand-Mile Walk to The Gulf,1867,,,
1133,Apr 2011,Brian Thomas Swimme & Mary Evelyn Tucker,Journey of the Universe,2011,,,
1134,Apr 2011,Robert Mighall,Poetic Lives: Keats,2009,,,
1135,Apr 2011,David Edwards,John Keats A Beginner’s Guide,2002,,,
1136,Apr 2011,Victor Bockris,Keith Richards The Biography,2003,,,
1137,May 2011,Daniel Defoe,Moll Flanders,1722,,,
1138,May 2011,Michael Soussan,Backstabbing For Beginners,2008,,,
1139,May 2011,Friedrich Nietzsche,Beyond Good and Evil,1886,,,
1140,Jun 2011,Willa Cather,The Song of The Lark,1915,,,
1141,Jun 2011,Honore deBalzac,The Vendetta,1830,,,
1142,Jun 2011,Sara Maitland,A Book of Silence,2008,,,
1143,Jul 2011,Stendhal,Memoirs of An Egotist,1832,,,
1144,Jul 2011,Hugh Trevor-Roper,History and The Enlightenment,2010,,,
1145,Jul 2011,Emile Zola,"For a Night of Love, Nantas, Fasting",1876-78-70,,,
1146,Aug 2011,Yann Martel,Life of Pi,2001,,,
1147,Aug 2011,Don Piper with Cecil Murphy,Ninety Minutes in Heaven,2004,,,
1148,Sep 2011,Sandro Veronesi,Quiet Chaos,2005,,,
1149,Sep 2011,Charles Dickens,Sketches By Boz,1834-36,,,
1150,Oct 2011,Noel Coward,Present Indicative: An Autobiography,1937,,,
1151,Oct 2011,David Browne,Fire and Rain,2011,,,
1152,Nov 2011,Niobe Way,Deep Secrets,2011,,,
1153,Nov 2011,Vladmir Nabokov,Pnin,1953,,,
1154,Dec 2011,Erik Larson,In The Garden Of Beasts,2011,,,
1155,Dec 2011,Elie Wiesel,Night,1958,,,
1156,Jan 2012,Sanford D. Greenberg,Even This,1953,,,
1157,Jan 2012,Nikolai Gogol,The Garden Squabble,1835,,,
1158,Feb 2012,"Albert Goldman, Lawrence Schiller",Ladies and Gentlemen: Lenny Bruce!,1971,,,
1159,Mar 2012,Muriel Barbery,The Elegance of the Hedgehog,2006,,,
1160,Mar 2012,Scotty Bowers,Full Service,2012,,,
1161,Mar 2012,Laura Hillenbrand,Unbroken,2010,,,
1162,Apr 2012,Emile Zola,Nana,1880,,,
1163,Apr 2012,Julie Otsuka,The Buddha in the Attic,2011,,,
1164,Apr 2012,Timothy L. Hoffmann,Gone for a Ride,2007,,,
1165,Jun 2012,E.L. James,Fifty Shades of Grey (Favorite),2011,,,
1166,Jun 2012,Vladimir Nabokov,Pale Fire,1959,,,
1167,Jul 2012,"Benjamin Grahanm, Jason Zweig",The Intelligent Investor,"1949,73, 2003",,,
1168,Jul 2012,P.G. Wodehouse,Uncle Fred in the Springtime,1939,,,
1169,Jul 2012,"Julie Rugg, Linda Murphy",A Book Addict's Treasury,2006,,,
1170,Jul 2012,Graham Greene,The Heart of the Matter,1948,,,
1171,Jul 2012,Johann Wolfgang von Goethe,The Man of Fifty,1818,,,
1172,Aug 2012,Roger Collins,Early Medieval Europe 300-1000,1991,,,
1173,Aug 2012,Tom Wolfe,I Am Charlotte Simmons,2004,,,
1174,Sep 2012,Malcolm Gladwell,blink,2005,,,
1175,Sep 2012,Saul Bellow,Seize the Day,1956,,,
1176,Sep 2012,Lee Hausner,Children of Paradise,1990,,,
1177,Nov 2012,William Carlos Williams,In the American Grain,1925,,,
1178,Nov 2012,Michael Shaara,The Killer Angels,1974,,,
1179,Nov 2012,Elisabeth Tova Bailey,The Sound of a Wild Snail Eating,2010,,,
1180,Dec 2012,Henry Kissinger,On China,2011,,,
1181,Dec 2012,George Eliot,Felix Holt: The Radical,1866,,,
1182,Feb 2013,William Manchester,Winston Spencer Churchill The Last Lion Part 2 - Alone. 1932-40,1988,,,
1183,Feb 2013,Robert D. Kaplan,The Revenge of Geography,2012,,,
1184,Mar 2013,Mario Puzo,The Fortunate Pilgrim,1964,,,
1185,Mar 2013,Nancy Mitford,Voltaire in Love,1957,,,
1186,Mar 2013,David Barash,Revolutionary Biology - The New Gene- Centered View of Life,2001,,,
1187,Apr 2013,Robert K Massie,Catherine the Great,2011,,,
1188,Apr 2013,Elizabeth Bowen,The House in Paris,1935,,,
1189,May 2013,Mason Currey,Daily Rituals - How Artists Work,2013,,,
1190,Jun 2013,Emil Ludwig,Genius and Character,1927,,,
1191,Jul 2013,Phillippe Burrin,France Under the Germans,1995,,,
1192,Aug 2013,Bruno Schultz,The Street of Crocodiles,1934,,,
1193,Aug 2013,Donald Shepherd,Bing Crosby - The Hollow Man,1981,,,
1194,Sep 2013,Barbara K. Tuchman,A Distant Mirror,1978,,,
1195,Oct 2013,Witold Gombrowicz,Cosmos,1967,,,
1196,Nov 2013,Charles C. Mann,1493,2011,,,
1197,Nov 2013,Philip K. Dick,Do Androids Dream of Eletric Sheep?,1968,,,
1198,Dec 2013,Marianne Williamson,The Law of Divine Compensation,2012,,,
1199,Feb 2014,Margaret Macmillan,The War That Ended Peace,2013,,,
1200,Feb 2014,Herman Melville,Benito Cereno,1855,,,
1201,Feb 2014,Anton Chekhov,The Duel,1891,,,
1202,Mar 2014,Don DeLillo,Cosmopolis,2003,,,
1203,May 2014,Victoria Wilson,A Life of Barbara Stanwyck,2013,,,
1204,Jun 2014,Julie Orringer,The Invisible Bridge,2010,,,
1205,Jul 2014,Jonathan Lethem,Dissident Gardens,2013,,,
1206,Aug 2014,"Ernst Fischer, Carol Lipson",Thinking About Science:Max Delbruck & the Origins of Molecular Biology,1988,,,
1207,Aug 2014,Marilynne Robinson,When I Was A Child I Read Books,2012,,,
1208,Aug 2014,Alice Munro,Dear Life,2012,,,
1209,Sep 2014,Louisa May Alcott,Little Women,1868,,,
1210,Sep 2014,J.L. Carr,A Month in the Country,1980,,,
1211,Oct 2014,Henry Kissinger,World Order,2014,,,
1212,Nov 2014,James Fenimore Cooper,The Deerslayer,1841,,,
1213,Dec 2014,Leo Tolstoy,The Kingdom of God is Within You,1893,,,
1214,Jan 2015,Edmund Wilson,The Fifties,1986,,,
1215,Jan 2015,Anjelica Huston,Watch Me,2014,,,
1216,Feb 2015,Phil Klayn,Redeployment,2014,,,
1217,Mar 2015,Ivan Turgenev,Virgin Soil,1877,,,
1218,Jun 2015,Karl Ove Knaussgaard,My Struggle,2009,,,
1219,Jun 2015,Patrick Leigh Fermor,A Time of Gifts,1977,,,
1220,Jul 2015,Randall Jarrell,Pictures From An Institution,1952,,,
1221,Jul 2015,Howard Felperin,In Another Life ,2014,,true,
1222,Jul 2015,Thomas Beer,The Mauve Decade,1926,,,
1223,Sep 2015,Charles Dickens,Little Dorrit,1857,,,
1224,Nov 2015,Judith Viorst,Grown-Up Marriage,2003,,,
1225,Nov 2015,Ron Chernov,Alexander Hamilton,2004,,,
1226,Nov 2015,Jeff Fromm,Marketing to Millennials,2013,,,
1227,Dec 2015,James Gavin,Deep in a Dream. The Long Night of Chet Baker,2002,,,
1228,Dec 2015,Honore de Balzac,The Wrong Side of Paris,1845,,,
1229,Jan 2016,Steve Silberman,NeuroTribes.The Legacy of Autism,2016,,,
1230,Jan 2016,Honore de Balzac,The Human Comedy. selected stories,"1830s,1840s",,,
1231,Jan 2016,Buzz Bissinger,Three Nights in August,2005,,,
1232,Feb 2016,Kostya Kennedy,Pete Rose. An American Dilemma,2016,,,
1233,Mar 2016,Michael Lewis,Moneyball,2003,,,
1234,Apr 2016,Jonathan Franzen,Freedom,2010,,,
1235,May 2016,Morris Dickstein,Why Not Say What Happened,2015,,,
1236,May 2016,Stepen Greenblatt,The Swerve,2011,,,
1237,Jun 2016,William Shakespeare,The Tempest,1611,,,
1238,Jun 2016,Bill Read,The Days of Dylan Thomas,1964,,,
1239,Jul 2016,R.D. Blackmore,Lorna Doone,1869,,,
1240,Jul 2016,Albert Schweitzer,J.S. Bach vol.two.,1911,,,
1241,Aug 2016,Madeline Levine,The Prince of Privilege,2006,,,
1242,Aug 2016,Hilton Als,White Girls,2014,,,
1243,Sep 2016,Barbara Tuchman,The Guns of August,2014,,,
1244,Oct 2016,Mary Karr,The Art of Memoir,2015,,,
1245,Oct 2016,Flannery O'Connor,Everything That Rises Must Converge,1965,,,
1246,Nov 2016,Isaac Bashevis Singer,A Crown of Feathers,1973,,,
1247,Nov 2016,Robert Gottlieb,Avid Reader,2016,,,
1248,Dec 2016,Rabbi Shalom Arush,The Garden of Peace,2008,,,
1249,Jan 2017,Erik Larson,The Devil in the White City,2003,,,
1250,Feb 2017,Paula Hawkins,The Girl on the Train,2015,,,
1251,Mar 2017,Oliver Sacks,The Last Interview,2016,,,
1252,Mar 2017,"Charles Nordhoff, James Norman Hall",Mutiny On the Bounty,1932,,,
1253,Mar 2017,John Sutherland,A Little History Of Literature,2013,,,
1254,Apr 2017,Frances Kroll Ring,Against The Current,1985,,,
1255,Apr 2017,James Baldwin,Giovanni's Room,1956,,,
1256,Apr 2017,Jimmy Webb,The Cake And The Rain,2017,,,
1257,Apr 2017,J.D. Salinger,The Last Interview,2016,,,
1258,Apr 2017,Timothy Snyder,On Tyranny,2017,,,
1259,Jun 2017,Donald Trump,Trump The Art of the Deal,1986,,,
1260,Jun 2017,Joseph J. Ellis,American Sphinx (The Character Of Thomas Jefferson),1996,,,
1261,Jun 2017,James Baldwin,The Fire Next Time,1962,,,
1262,Jul 2017,John Julius Norwich,Four Princes,2016,,,
1263,Aug 2017,Lisa Hilton,Elizabeth,2014,,,
1264,Aug 2017,Erich Maria Remarque,All Quiet On The Western Front,1928,,,
1265,Sep 2017,Friedrich Nietzsche,Anti-Education,1872,,,
1266,Sep 2017,Al Franken,Giant Of The Senate,2017,,,
1267,Oct 2017,Elena Ferrante,The Days Of Abandonment,2002,,,
1268,Oct 2017,Fyodor Dostoyevsky,Netochka Nezvanova,1849,,,
1269,Dec 2017,Franz Kafka,Konundrum,C.1914,,,
1270,Dec 2017,Elizabeth Strout,My Name Is Lucy Barton,2016,,,
1271,Dec 2017,Marcus Tullius Cicero,How To Grow Old,44 BC,,,
1272,Jan 2018,Domenico Starnone,Ties,2014,,,
1273,Feb 2018,Michael Wolff,Fire and Fury,2018,,,
1274,May 2018,Craig Pittman,Oh Florida!,2016,,,
1275,Jun 2018,Madeline Albright,Facism - a warning,2018,,,
1276,Jun 2018,Adele Faber & Elaine Mazlish,How to Talk So Kids Will Listen & How to Listen So Kids Will Talk,1980,,,
1277,Jun 2018,John Steinbeck,Of Mice and Men,1937,,,
1278,Jun 2018,Julian Barnes,The Sense of an Ending,2011,,,
1279,Jul 2018,Robert Hilburn,"Paul Simon, The Life",2018,,,
1280,Aug 2018,J. Edgar Hoover,Masters of Deceit,1958,,,
1281,Aug 2018,Gabriel Garcia Marquez,The Story of a Shipwrecked Sailor,1986,,,
1282, ,Peter Catapano,Modern Ethics in 77 Arguments,2017,,,
1283, ,Ruth Bader Ginsburg,In Her Own Words,2018,,,
1284, ,Bob Woodward,Fear,2013,,,
1285, ,Ayn Rand,The Fountainhead,1943,,true,
1286, ,Robert Parker,The Widening Gyre,1983,,,
1287, ,Anthony Doerr,All the Light We Cannot See,2014,,true,
1288, ,Alan Jacobs,How to Think,2017,,,
1289, ,Cormac McCarthy,The Road,2006,,true,
1290, ,Bill O'Reilly,Killing the SS,2018,,,
1291, ,Stephen Kinzer,The True Flag,2017,,true,
1292, ,Marianne Williamson,Healing the Soul of America,1997,,,
1293, ,Eric Kandel,The Disordered Mind,2018,,,
1294, ,Bill Bryson,A Walk in the Woods,1981,,,
1295, ,Naomi Klein,No Is Not Enough,2017,,,
1296, ,Paul Collins,Duel With The Devil,2013,,,
1297, ,Cliff Sims,Team of Vipers,2019,,,
1298, ,"Jim Mattis, Bing West",Call Sign Chaos,2019,,,
1299, ,Margaret Attwood,The Handmaid's Tale,1986,,,
1300,2019,Gelett Burgess,Have You an Educated Heart, ,,,
1301,2020,David Talbot,"The Devil’s Chessboard, Allen Dulles, the CIA and the Rise of America’s Secret Government",2015,,,
1302,2020,Erik Larson,The Splendid and the Vile,2020,,,
1303,2020,Viktor E. Frankl,Yes to Life,2019,,,
1304,2020,Sanford David Greenberg,"Hello Darkness, My Old Friend",2020,,,
1305,2020,Mary L. Trump,Too Much and Never Enough,2020,,,
1306,2020,Doris Kearns Goodwin,Leadership,2020,,,
1307,2020,David Mikie,Stanley Kubrick,2020,,,
1308,2020,Julie Satow,The Plaza,2019,,,
1309,2020,Ash Carter and Sam Kashner,Life Isn’t Everything – Mike Nichols as Remembered by 150 of His Closest Friends ,2019,,,
1310,2021,Ruth Ben-Ghiat,Strongmen (Mussolini to the Present) ,2019,,,
1315 ,Jul 2021 ,Mike Nichols A Life ,Mark Harris ,2021,,,
1316 ,Aug 2021 ,David S. Brown ,The Last American Aristocrat ,2020,,,
1317 ,Sep 2021 ,P.G.Wodehouse ,Jeeves and the Feudal Sprit ,1954,,,
1318 ,Sep 2021 ,Margaret MacMillan ,Paris ,1919,,,
1319 ,Sep 2021 ,Charles Terry ,The Music of Bach ,1963,,,
1320 ,Oct 2021 ,Bernard Shaw ,Pygmalion ,1913,,,
1321 ,Oct 2021 ,Jo Giese ,Never Sit if You Can Dance ,2019,,,
1322 ,Oct 2021 ,"Bob Woodward, Robert Costa ",Peril ,2021,,,
1323 ,Dec 2021 ,Amor Towles ,A Gentleman in Moscow ,2016,,,
1324 ,Dec 2021 ,Mel Brooks ,All About Me! ,2021 ,,,
 1325 ,Jan 2022 ,James Michener ,Caravans ,1963,,,
1326 ,Jan 2022 ,Abraham Lincoln ,The Spiritual Growth of a Republic Man,1973,,,
1327,Feb 2022 ,Joe Scarborough ,Saving Freedom,2020,,,
1328,Feb 2022 ,Steve Sheinkin ,The Notorious Benedict Arnold,2010,,,
1329,Feb 2022 ,Rodrigo Garcia ,A Farewell to Gabo and Mercedes ,2021,,,
1330,Feb 2022 ,Matt Haig ,The Midnight Library,2020,,true,
1331,Mar 2022 ,Sebastian Faulks ,Birdsong,1993,,,
1332,May 2022 ,Garry Kasparov ,Winter is Coming,2015,,,
