order,date,author,title,published,pages,favorite,
380.,Jun 1986,Alan S. Parkes,Patterns of Sexuality and Reproduction,1976,141 pp.,,
381.,Jul 1986,Edmund Gosse,Father and Son,1907,251 pp.,,
382.,Sep 1986,John Gardner,Self-Renewal,1981,127 pp.,,
383.,Sep 1986,Dante Alighieri,Inferno,1314,180 pp.,,
384.,Sep 1986,E.M. Forster,Howard's End,1910,271 pp.,,
385.,Sep 1986,Gaston Bachelard,The Poetics of Space,1958,241 pp.,,
386.,Sep 1986,William Kennedy,Ironweed ,1983,227 pp.,true,
387.,Oct 1986,Homer,The Odyssey,c.700 bc.,365 pp.,,
388.,Oct 1986,James Joyce,"Selected Letters, edited by Richard Ellman",1957,409 pp.,,
389.,Nov 1986,Moss Hart,Act One,1959,383 pp.,,
390.,Nov 1986,Vladimir Nabokov,The Enchanter ,1939,95 pp.,true,
391.,Nov 1986,Ralph Waldo Emerson,"The Heart of Emerson's Journals, 1820-75",1820-75,338 pp.,,
392.,Dec 1986,Harold C. Schonberg,The Lives of the Great Composers ,1970,627 pp.,true,
393.,Dec 1986,David A. Stockman,The Triumph of Politics ,1986,411 pp.,true,
394.,Dec 1986,Stanislaus Joyce,The Dublin Diary of Stanislaus Joyce,1904,114 pp.,,
395.,Jan 1987,Thomas Hobbes,Leviathan ,1651,729 pp.,true,
396.,Feb 1987,Rainer Maria Rilke,Letters to Benvenuta,1914,87 pp.,,
397.,Feb 1987,Douglass H. Morse,Behavioral Mechanisms in Ecology,1980,320 pp.,,
398.,Apr 1987,Mark Twain and Charles Dudley Warner,The Gilded Age,1873,222 pp.,,
399.,Apr 1987,Arthur Power,Conversations with James Joyce,1974,111 pp.,,
400.,May 1987,Jacques Barzun,The Use and Abuse of Art,1974,150 pp.,,
401.,May 1987,V.S. Naipaul,Among the Believers (an Islamic Journey),1980,430 pp.,,
402.,May 1987,Carrie Fisher,Postcards from the Edge ,1987,218 pp.,true,
403.,Jun 1987,Michel Montaigne,Essays,1580,406 pp.,,
404.,Jun 1987,Marcel Proust,Cities of the Plain ,1913,378 pp.,true,
405.,Jun 1987,Peter Gay,The Bourgeois Experience Education of the Senses,1984,460 pp.,,
406.,Jun 1987,Sigmund Freud,The Ego and the Id,1923,49 pp.,,
407.,Jul 1987,V.I. Lenin,"Imperialism, The Highest Stage of Capitalism",1916,128 pp.,,
408.,Jul 1987,Larry McMurtry,Lonesome Dove,1985,945 pp.,,
409.,Jul 1987,A.J. Liebling,Between Meals,1959,185 pp.,,
410.,Jul 1987,Peter Fornatale & Joshua E. Mills,Radio in the Television Age,1980,196 pp.,,
411.,Jul 1987,Martin Amis,Einstein's Monsters,1987,149 pp.,,
412.,Jul 1987,Barry Lopez,Arctic Dreams,1986,372 pp.,,
413.,Jul 1987,Doris Lessing,The Golden Notebook,1962,666 pp.,,
414.,Aug 1987,various,"The Practical Cogitator, The Thinker's Anthology",,644 pp.,,
415.,Aug 1987,James Branch Cabell,Jurgen,1919,368 pp.,,
416.,Aug 1987,Heinrich Heine,Deutschland,1843,100 pp.,,
417.,Sep 1987,Max I. Dimont,"Jews, God and History",1962,371 pp.,,
418.,Sep 1987,Jorge Luis Borges,An Introduction to American Literature,1967,90 pp.,,
419.,Sep 1987,Marco Polo,The Travels,1298,345 pp.,,
370.,Sep 1987,Martin Heidegger,Discourse on Thinking,"1945,55",90 pp.,,
371.,Sep 1987,John A. Wilson,The Culture of Ancient Egypt,1951,318 pp.,,
372.,Oct 1987,Denis Diderot,Rameau's Nephew,1761,125 pp.,,
423.,Oct 1987,Rudyard Kipling,Just So Stories ,1902,158 pp.,true,
424.,Oct 1987,Peter Ladefoged,Elements of Acoustic Phonetics ,1962,108 pp.,true,
425.,Oct 1987,Friedrich Nietzche,A Nietzsche Reader,1880s,284 pp.,,
426.,Oct 1987,Jane Austen,Mansfield Park,1814,464 pp.,,
427.,Oct 1987,C.P. Snow,The Two Cultures & A Second Look,"1959, 1964",100 pp.,,
